Jahr;Korrespondent/in;Gesendet;Empfangen;Gelesen;Alle Briefe
1800;Caroline Richter;4;3;0;7
1801;Caroline Richter;15;3;0;18
1802;Caroline Richter;27;10;0;37
1803;Caroline Richter;12;4;0;16
1804;Caroline Richter;13;4;0;17
1805;Caroline Richter;13;6;0;19
1806;Caroline Richter;6;3;0;9
1807;Caroline Richter;24;6;0;30
1808;Caroline Richter;15;14;0;29
1809;Caroline Richter;5;9;0;14
1810;Caroline Richter;2;16;0;18
1811;Caroline Richter;4;18;0;22
1812;Caroline Richter;2;4;0;6
1813;Caroline Richter;2;3;0;5
1814;Caroline Richter;3;4;0;7
1815;Caroline Richter;0;8;0;8
1816;Caroline Richter;4;8;0;12
1817;Caroline Richter;4;11;0;15
1818;Caroline Richter;4;18;1;23
1819;Caroline Richter;9;18;0;27
1820;Caroline Richter;18;21;0;39
1821;Caroline Richter;11;19;3;33
1822;Caroline Richter;36;13;0;49
1823;Caroline Richter;11;7;0;18
1824;Caroline Richter;2;2;0;4
1825;Caroline Richter;7;12;0;19
1826;Caroline Richter;21;6;0;27
1801;Jean Paul;6;0;1;7
1802;Jean Paul;14;0;3;17
1803;Jean Paul;3;0;2;5
1804;Jean Paul;2;0;0;2
1805;Jean Paul;2;0;6;8
1806;Jean Paul;3;0;2;5
1807;Jean Paul;9;0;4;13
1808;Jean Paul;4;0;10;14
1809;Jean Paul;2;0;8;10
1810;Jean Paul;1;0;10;11
1811;Jean Paul;1;0;9;10
1812;Jean Paul;0;0;4;4
1813;Jean Paul;0;0;3;3
1814;Jean Paul;1;0;4;5
1815;Jean Paul;0;0;7;7
1816;Jean Paul;1;0;6;7
1817;Jean Paul;1;0;9;10
1818;Jean Paul;1;0;12;13
1819;Jean Paul;1;0;9;10
1820;Jean Paul;1;0;6;7
1821;Jean Paul;1;0;18;19
1822;Jean Paul;1;0;2;3
1824;Jean Paul;1;0;0;1
1800;Johann Siegfried Wilhelm Mayer;0;4;0;4
1801;Johann Siegfried Wilhelm Mayer;0;12;0;12
1802;Johann Siegfried Wilhelm Mayer;2;26;0;28
1803;Johann Siegfried Wilhelm Mayer;1;13;0;14
1804;Johann Siegfried Wilhelm Mayer;0;6;0;6
1805;Johann Siegfried Wilhelm Mayer;5;7;0;12
1806;Johann Siegfried Wilhelm Mayer;3;0;0;3
1807;Johann Siegfried Wilhelm Mayer;5;0;0;5
1808;Johann Siegfried Wilhelm Mayer;7;0;0;7
1809;Johann Siegfried Wilhelm Mayer;7;1;0;8
1810;Johann Siegfried Wilhelm Mayer;6;0;0;6
1811;Johann Siegfried Wilhelm Mayer;9;0;0;9
1812;Johann Siegfried Wilhelm Mayer;4;0;0;4
1813;Johann Siegfried Wilhelm Mayer;3;0;0;3
1814;Johann Siegfried Wilhelm Mayer;4;0;0;4
1815;Johann Siegfried Wilhelm Mayer;8;0;0;8
1816;Johann Siegfried Wilhelm Mayer;7;1;0;8
1817;Johann Siegfried Wilhelm Mayer;9;2;0;11
1818;Johann Siegfried Wilhelm Mayer;14;1;0;15
1819;Johann Siegfried Wilhelm Mayer;7;0;0;7
1801;Johann Ernst Wagner;1;0;0;1
1803;Johann Ernst Wagner;0;2;0;2
1800;Johann Ernst Wagner;1;0;0;1
1804;Johann Ernst Wagner;1;0;0;1
1805;Johann Ernst Wagner;11;4;0;15
1806;Johann Ernst Wagner;10;1;0;11
1807;Johann Ernst Wagner;3;0;0;3
1808;Johann Ernst Wagner;20;11;0;31
1809;Johann Ernst Wagner;20;7;0;27
