Korrespondent/innen;Summe aller Personenkontakte;Erreichte Personen
Caroline Richter;298;59
Jean Paul;166;22
Emanuel Osmund;196;11
Odilie Minna Richter;76;4
Johann Siegfried Wilhelm Mayer;79;6
Caroline Goldschmidt;55;3
Johannes Daniel Falk;48;3
Emma Richter;45;6
Johann Ernst Wagner;48;30
Friedrich Theodor Adam Heinrich von Müller;42;4
Christian Freiherr Truchsess von Wetzhausen;41;9
Max Richter;39;9
Carl August Böttiger;24;5
Unbekannte Korrespondent/innen;24;8
Auguste Sophie Henriette Schwendler;18;2
Georg Joachim Göschen;17;1
Amanda Schlabrendorff;15;1
August Theodor Heinrich Bode;14;1
Antonie von Mützschefahl;12;2
 Johann Friedrich Wilhelm Bornträger;12;1
Ernst Karl Friedrich Ludwig;11;3
Johann Friedrich Kind;10;1
 Industrie-Comptoir;10;1
Franz Wilhelm Jung;9;1
Johann Leonhard Schrag;9;3
Georg Christian Otto;10;6
Paul Emile Thieriot;9;4
Ernst Joachim Förster;7;1
Theodor Christian Friedrich Enslin;6;1
Wilhelmine Uthe-Spazier;5;4
Johanna Heim;6;4
Johann Friedrich Freiherr Cotta von Cottendorf;5;3
Josephine von Welden;5;1
Anton Christoph Heim;4;1
Friedrich Wilmans;4;1
Philipp August Böckh;4;1
Charlotte (von) Schiller;4;1
Heinrich Voß;4;2
Anna Margaretha Fanny von Reitzenstein;4;2
Friedrich Rochlitz;3;1
Ernestine Mahlmann;3;2
Caroline (von) Herder;5;2
Johann Friedrich Frauenholz;3;2
Johann Wolfgang von Goethe;3;1
Friedrich Johann Justin Bertuch;3;2
Stephan Schütze;3;1
Bernhard Rudolf Abeken;3;1
Friedrich Freiherr de la Motte Fouqué;4;2
Franziska Dobeneck;3;1
Eduard Vieweg;3;1
Konstantin Karl von Falkenstein;3;1
Karl Müchler;2;2
Johann Gottfried (seit 1801) von Herder;4;2
Ludwig Tieck;2;1
Siegfried August Mahlmann;2;1
Ludwig Anton Wagner;2;2
Johann Erhart Wilhelm Calmberg;2;1
Friedrich Haug;2;1
Henriette Braun;2;1
Maximilian David Benjamin von Fischer;2;1
August von Studnitz;2;2
Ernestine Voß;3;2
Johann Heinrich Voß;2;1
Lorenz Heinrich Wagner;2;1
 Franz II. / I.;2;2
Carl Ludwig Börne;2;1
August Eberhard Müller;1;1
Johann Georg Jacob von Ahlefeldt;1;1
Wilhelm Christian Müller;1;1
Johann (Hans) Heinrich Füssli;1;1
Gottfried Christoph Härtel;1;1
Amöne Otto;2;2
Auguste Mayer;1;1
Friedrich Wilhelm Joseph (ab 1812) von Schelling;1;1
Friedrich Wilhelm August Murhard;1;1
Julie Henriette Mayer;1;1
Friedrich Karl Julius Schütz;1;1
Joseph Charles Mellish of Blyth;1;1
Clemens Brentano;1;1
Georg August von Breitenbauch;1;1
Johann Friedrich Wagner;1;1
Johann Friedrich Reichardt;1;1
Heinrich Karl Abraham Eichstädt;1;1
Karl Barth;1;1
Ludwig Gentz;1;1
Georg Wilhelm Keßler;1;1
Ludwig Achim von Arnim;1;1
Elisabeth Charlotte Karoline  Falk;1;1
Louise Henriette Könitz;1;1
Christian Ernst Graf von Bentzel-Sternau;1;1
Johann Gottlieb Fichte;1;1
Ernestine von Meusebach;2;2
Friedrich Arnold Brockhaus;1;1
Caroline Bergner;1;1
Karl August Freiherr von Wangenheim;1;1
Caroline Auguste Eleonore von Ehrenberg;1;1
Friedrich Ferdinand Hempel;1;1
Abraham Sophus Voß;1;1
Karl Ludwig Friedrich Ernst Wagner;1;1
Elise (Elisabeth) Wagner;1;1
Rahel Levin;1;1
Juliane Louise Antoinette Karoline Wagner;1;1
Auguste Ritter;1;1
Susanne Sophie von Herder;1;1
Henriette Luise Eleonore von Schubaert;2;2
Johann Georg Friedrich Messerschmidt;1;1
Marie von Schubaert;1;1
Heinrich Boie;1;1
Sophie Paulus;1;1
Henriette Freifrau von Ende;1;1
Johann Andreas Uthe;2;2
Sara Henriette Boie;1;1
Ludwig Friedrich (seit 1810) von Froriep;1;1
Johann (Hans) Carl Moritz Freiherr von Thüngen;1;1
Luise von Welden;1;1
Minona Laura Abeken;1;1
Richard Otto Spazier;3;3
Luise Förster;1;1
Friedrich Mosengeil;1;1
Christian Ferdinand Könitz;1;1
Franziska (Fanny) von Welden;1;1
Georg Andreas Gabler;1;1
Joseph Max;1;1
Detlev Graf von Einsiedel;1;1
 Friedrich August I.;1;1
Georg Ludwig Friedrich Wilhelm Graf von Münster;1;1
Elisabeth Cotta von Cottendorf;1;1
Johann Adam Walther;1;1
Josef Graf Sedlnitzky von Choltitz;1;1
