Jahr;Briefe;Durchschnittliche Brieflänge;Korrespondent/innen;Personenerwähnungen;Produktwert
1799;1;7793;2;7;;109102
1800;23;4018;16;125;;184828000
1801;38;4979;21;421;;1672734882
1802;64;4576;17;694;;3455209472
1803;64;3912;22;584;;3216728064
1804;49;3908;19;520;;1891940960
1805;61;3581;23;636;;3195354948
1806;33;2382;17;151;;201781602
1807;39;1863;13;167;;157738347
1808;88;3574;32;773;;7779768832
1809;87;3542;38;639;;7482595428
1810;68;4306;32;898;;8414130688
1811;86;4303;40;976;;14447064320
1819;47;3225;20;489;;1482403500
1812;15;3812;16;180;;164678400
1813;13;3119;9;118;;43060914
1814;16;3322;13;175;;120920800
1815;15;4582;11;235;;177667050
1816;29;2970;21;231;;417816630
1817;31;4500;28;423;;1652238000
1818;29;4922;15;431;;922801170
1820;55;3436;23;710;;3086043400
1821;41;5523;13;769;;2263750671
1822;56;4361;12;916;;2684422272
1823;19;4047;9;205;;141867585
1824;7;4041;11;100;;31115700
1825;31;3374;24;218;;547235808
1826;45;3550;24;325;;1246050000
