Jahr	Briefe	Brieflänge	Korrespondent/innen	Mitleser/innen	Kommentator/innen	Personenerwähnungen	Themen	Performance Score	DPI
1800	2,475780409	2,641262442	9,411764706	0,495049505	0,673400673	3,967065868	30	7,094903372	
1801	3,336921421	4,740821349	11,17647059	1,485148515	5,387205387	9,505988024	40	10,80465075	1,5
1802	5,81270183	7,135090323	8,235294118	1,98019802	14,14141414	10,55389222	50	13,97979866	1,3
1803	5,81270183	5,80612014	12,35294118	0,99009901	6,734006734	9,95508982	56,66666667	14,04537505	1,4
1804	3,98277718	4,024471635	9,411764706	0	4,04040404	7,859281437	45	10,616957	0,6
1805	5,166846071	5,085107472	11,76470588	3,465346535	17,17171717	11,00299401	50	14,80810245	1,4
1806	2,583423036	1,403291358	8,235294118	0,99009901	7,744107744	4,491017964	23,33333333	6,968652366	0,5
1807	3,767491927	1,644620626	7,058823529	2,475247525	5,723905724	4,416167665	41,66666667	9,536131952	1,4
1808	6,996770721	5,708856092	17,05882353	6,435643564	4,377104377	11,07784431	55	15,23643466	1,6
1809	6,243272336	5,6850264	17,64705882	4,95049505	1,01010101	11,45209581	48,33333333	13,61734039	1,5
1810	5,166846071	5,147985819	17,05882353	4,95049505	0,673400673	13,54790419	45	13,07792219	1
1811	7,857911733	8,727617469	19,41176471	5,940594059	2,693602694	14,22155689	58,33333333	16,74091155	1,3
1812	1,291711518	1,140277929	8,235294118	2,97029703	0,673400673	4,266467066	26,66666667	6,463445	0,4
1813	0,753498385	0,698813579	4,117647059	1,485148515	1,01010101	2,47005988	18,33333333	4,124085966	0,6
1814	0,968783638	0,759660823	3,529411765	1,98019802	1,01010101	2,769461078	20	4,431088048	1,1
1815	1,076426265	1,261857989	4,117647059	3,465346535	1,01010101	4,715568862	28,33333333	6,282897293	1,4
1816	1,937567277	1,561717328	10	2,97029703	2,02020202	5,164670659	31,66666667	7,903017283	7,903017283
1817	2,260495156	1,716281344	9,411764706	4,455445545	2,693602694	4,491017964	28,33333333	7,623134392	7,623134392
1818	2,906350915	3,952124347	7,647058824	7,425742574	2,02020202	7,709580838	35	9,523008503	9,523008503
1819	3,444564047	3,038385829	8,823529412	4,455445545	2,356902357	8,682634731	33,33333333	9,162113608	9,162113608
1820	4,951560818	4,574728683	10	10,89108911	4,713804714	13,17365269	53,33333333	14,51973848	14,51973848
1821	4,305705059	6,353058768	7,647058824	24,25742574	4,377104377	14,29640719	53,33333333	16,36715618	16,36715618
1822	5,920344456	6,886437644	7,058823529	0,99009901	1,346801347	13,17365269	40	10,76802267	10,76802267
1823	2,045209903	2,201800586	5,294117647	0	0	4,191616766	25	5,533249272	5,533249272
1824	0,645855759	0,651154195	5,882352941	0	1,01010101	3,443113772	10	3,09036824	3,09036824
1825	2,906350915	2,542196148	12,35294118	0	0	4,640718563	25	6,777458115	6,777458115
1826	4,843918192	4,561826893	14,11764706	0,495049505	4,713804714	6,062874251	40	10,68501723	10,68501723
