Kreis;Korrespondent/in;Briefe
Emanuel-Kreis;Caroline Richter;88
Emanuel-Kreis;Emanuel Osmund;222
Emanuel-Kreis;Caroline Goldschmidt;70
Emanuel-Kreis;Jean Paul;38
Emanuel-Kreis;Georg Christian Otto;3
Emanuel-Kreis;Paul Emile Thieriot;2
Emanuel-Kreis;Auguste Sophie Henriette Schwendler;46
Emanuel-Kreis;Henriette Braun;1
Emanuel-Kreis;Amanda Schlabrendorff;19
Emanuel-Kreis;Antonie von Mützschefahl;19
Emanuel-Kreis; Bayreuther Postamt;1
Emanuel-Kreis;Christian Ernst Graf von Bentzel-Sternau;1
Emanuel-Kreis;Emma Richter;3
Emanuel-Kreis;Max Richter;2
Familie Mayer;Caroline Richter;165
Familie Mayer;Wilhelmine Uthe-Spazier;13
Familie Mayer;Ernestine Mahlmann;49
Familie Mayer;Johann Siegfried Wilhelm Mayer;173
Familie Mayer;Ernestine Amalie Merzdorf;4
Familie Mayer;Jean Paul;94
Familie Mayer;Auguste Mayer;1
Familie Mayer;Julie Henriette Mayer;13
Familie Mayer;Siegfried August Mahlmann;2
Familie Mayer;Johannes Daniel Falk;1
Familie Mayer;Ernst Karl Friedrich Ludwig;4
Familie Mayer;Max Richter;2
Familie Mayer;Odilie Minna Richter;2
Familie Mayer;Emma Richter;2
Familie Mayer;Johann Andreas Uthe;1
Familie Mayer;Richard Otto Spazier;4
Caroline Richter-Kreis;Caroline Richter;188
Caroline Richter-Kreis;Unbekannte Korrespondent/innen;6
Caroline Richter-Kreis;Johann Georg Jacob von Ahlefeldt;1
Caroline Richter-Kreis;Georg Christian Otto;5
Caroline Richter-Kreis;Adelheid Henriette von Bassewitz;2
Caroline Richter-Kreis;Emanuel Osmund;75
Caroline Richter-Kreis;Jean Paul;62
Caroline Richter-Kreis;Amöne Otto;2
Caroline Richter-Kreis;Paul Emile Thieriot;8
Caroline Richter-Kreis;Charlotte von Kalb;28
Caroline Richter-Kreis;Johanna Heim;2
Caroline Richter-Kreis;Anna Henriette (Nanette) Gentz;1
Caroline Richter-Kreis;Ludwig Gentz;2
Caroline Richter-Kreis;Wilhelmine von Müffling;1
Caroline Richter-Kreis;Auguste Sophie Henriette Schwendler;7
Caroline Richter-Kreis;Therese Lentz;1
Caroline Richter-Kreis;Friedrich Christian August Schwendler;1
Caroline Richter-Kreis;Antonie von Mützschefahl;2
Caroline Richter-Kreis;Caroline Auguste Eleonore von Ehrenberg;6
Caroline Richter-Kreis;Ernst Karl Friedrich Ludwig;1
Caroline Richter-Kreis;Rosalie von Ungern-Sternberg;3
Caroline Richter-Kreis;Marie Ulrike Wilhelmine Levezow;1
Caroline Richter-Kreis;Henriette Freifrau von Ende;11
Caroline Richter-Kreis;Susanne Sophie von Herder;1
Caroline Richter-Kreis;Henriette Luise Eleonore von Schubaert;1
Caroline Richter-Kreis;Ernestine Voß;2
Caroline Richter-Kreis;Johann Heinrich Voß;1
Caroline Richter-Kreis;Josephine von Welden;5
Caroline Richter-Kreis;Wilhelmine Doerffer;1
Caroline Richter-Kreis;Luise von Herder;1
Caroline Richter-Kreis;Auguste Caroline Wilhelmine Louise von Giech;1
Caroline Richter-Kreis;Franz Wilhelm Jung;5
Caroline Richter-Kreis;Richard Otto Spazier;1
Caroline Richter-Kreis;Luise Antoinette Benedictine Friederike Sophie Karoline Henckel von Donnersmarck;1
Caroline Richter-Kreis;Christoph August Tiedge;1
Caroline Richter-Kreis;Karoline Wilhelmine von Giech-Schönburg;1
Caroline Richter-Kreis;Georg Andreas Gabler;1
Caroline Richter-Kreis;Anna Margaretha Fanny von Reitzenstein;2
Caroline Richter-Kreis;Anna Christiane Charlotte von Stein;1
Caroline Richter-Kreis;Johann Leonhard Schrag;1
Caroline Richter-Kreis;Konstantin Karl von Falkenstein;2
Caroline Richter-Kreis;Johann Adam Walther;1
Johann Ernst Wagner-Kreis;Johann Ernst Wagner;138
Johann Ernst Wagner-Kreis;Anton Christoph Heim;4
Johann Ernst Wagner-Kreis;Johann Christoph Aretin;2
Johann Ernst Wagner-Kreis;Joseph Marius Franz von Babo;2
Johann Ernst Wagner-Kreis;Joseph Scherer;1
Johann Ernst Wagner-Kreis;Unbekannte Korrespondent/innen;4
Johann Ernst Wagner-Kreis;Joseph Charles Mellish of Blyth;1
Johann Ernst Wagner-Kreis;Georg Joachim Göschen;18
Johann Ernst Wagner-Kreis;Johann Friedrich Wagner;1
Johann Ernst Wagner-Kreis;Johanna Heim;5
Johann Ernst Wagner-Kreis;Johann Wolfgang von Goethe;3
Johann Ernst Wagner-Kreis;Friederike Wilhelmine Caroline;1
Johann Ernst Wagner-Kreis;Johanna Sidonie Dorothea von Dieskau;1
Johann Ernst Wagner-Kreis;Georg Wilhelm Keßler;2
Johann Ernst Wagner-Kreis;Friedrich Theodor Adam Heinrich von Müller;21
Johann Ernst Wagner-Kreis;Heinrich Karl Abraham Eichstädt;1
Johann Ernst Wagner-Kreis;Johann Friedrich Frauenholz;2
Johann Ernst Wagner-Kreis;Karl Barth;1
Johann Ernst Wagner-Kreis;Carl August Böttiger;1
Johann Ernst Wagner-Kreis;Christian Freiherr Truchsess von Wetzhausen;34
Johann Ernst Wagner-Kreis;Friedrich Johann Justin Bertuch;1
Johann Ernst Wagner-Kreis;Moritz August von Thümmel;2
