Korrespondent/in;Gesendet;Empfangen;Gelesen;Kommentiert;Gesendet/Gelesen/Kommentiert;alle Interaktionen
Caroline Richter;277;250;4;50;331;581
Jean Paul;56;0;135;71;262;262
Johann Siegfried Wilhelm Mayer;101;73;0;10;111;184
Johann Ernst Wagner;97;42;1;0;98;140
Emanuel Osmund;2;92;1;0;3;95
Odilie Minna Richter;13;54;22;2;37;91
Emma Richter;34;25;21;5;60;85
Max Richter;35;35;0;0;35;70
Johann Karl Gottlieb Spazier;59;0;0;0;59;59
Wilhelmine Uthe-Spazier;48;5;0;0;48;53
Ernestine Mahlmann;46;3;0;0;46;49
Johannes Daniel Falk;0;46;1;0;1;47
Christian Freiherr Truchsess von Wetzhausen;6;35;2;0;8;43
Carl August Böttiger;0;24;0;0;0;24
Henriette Freifrau von Ende;23;1;0;0;23;24
Friedrich Arnold Brockhaus;21;1;0;0;21;22
Friedrich Theodor Adam Heinrich von Müller;3;18;0;0;3;21
Siegfried August Mahlmann;18;2;0;0;18;20
Unbekannte Korrespondent/innen;0;18;0;0;0;18
Georg Joachim Göschen;1;17;0;0;1;18
Heinrich Voß;11;4;0;0;11;15
Ernst Joachim Förster;7;7;0;0;7;14
Julie Henriette Mayer;12;1;0;12;24;25
August Theodor Heinrich Bode;0;13;0;0;0;13
 Johann Friedrich Wilhelm Bornträger;1;12;0;0;1;13
Ernst Karl Friedrich Ludwig;1;11;0;0;1;12
Johann Leonhard Schrag;3;8;0;0;3;11
Georg Christian Otto;3;4;3;1;7;11
Paul Emile Thieriot;3;7;0;1;4;11
Johanna Heim;5;4;1;0;6;10
Franz Wilhelm Jung;1;9;0;0;1;10
Richard Otto Spazier;8;1;0;0;8;9
Auguste Sophie Henriette Schwendler;7;0;0;0;7;7
Johann Friedrich Freiherr Cotta von Cottendorf;2;4;1;0;3;7
Ludwig Anton Wagner;4;2;0;0;4;6
Caroline Auguste Eleonore von Ehrenberg;5;1;0;0;5;6
Ernestine Voß;4;2;0;0;4;6
Friedrich Mosengeil;4;1;0;0;4;5
Charlotte (von) Schiller;1;4;0;0;1;5
Karl Ludwig Friedrich Ernst Wagner;4;1;0;0;4;5
Josephine von Welden;0;5;0;0;0;5
Anton Christoph Heim;0;3;1;0;1;4
Stephan Schütze;1;0;3;0;4;4
Philipp August Böckh;0;4;0;0;0;4
Karl August Freiherr von Wangenheim;3;1;0;0;3;4
Anna Margaretha Fanny von Reitzenstein;0;4;0;0;0;4
Ernestine Amalie Merzdorf;3;0;0;0;3;3
Caroline (von) Herder;0;3;0;0;0;3
Johann Friedrich Frauenholz;0;3;0;0;0;3
Johann Wolfgang von Goethe;0;3;0;0;0;3
Friedrich Wilmans;0;3;0;0;0;3
Friedrich Johann Justin Bertuch;0;3;0;0;0;3
Louise Theresa Caroline Amelia Adelheid;3;0;0;0;3;3
Bernhard Rudolf Abeken;0;3;0;0;0;3
Johann Gottlieb Fichte;2;1;0;0;2;3
Friedrich Haug;1;1;1;0;2;3
Rosalie von Ungern-Sternberg;3;0;0;0;3;3
Franziska Dobeneck;0;3;0;0;0;3
Eduard Vieweg;0;3;0;0;0;3
Konstantin Karl von Falkenstein;0;3;0;0;0;3
Friedrich Rochlitz;0;2;0;0;0;2
Johann Gottfried (seit 1801) von Herder;0;1;1;0;1;2
Adelheid Henriette von Bassewitz;2;0;0;0;2;2
Amöne Otto;1;1;0;1;2;3
