Korrespondent/in 1;Korrespondent/in 2;Briefe
Johann Karl Gottlieb Spazier;Carl August Böttiger;10
Johann Karl Gottlieb Spazier;Unbekannte Korrespondent/innen;5
Johann Karl Gottlieb Spazier;Friedrich Rochlitz;2
Johann Karl Gottlieb Spazier;Johannes Daniel Falk;20
Johann Karl Gottlieb Spazier;Wilhelm Christian Müller;1
Johann Karl Gottlieb Spazier;Karl Müchler;1
Johann Karl Gottlieb Spazier;Johann (Hans) Heinrich Füssli;1
Johann Karl Gottlieb Spazier;Gottfried Christoph Härtel;1
Johann Karl Gottlieb Spazier;Johann Friedrich Frauenholz;1
Johann Karl Gottlieb Spazier;Friedrich Wilhelm August Murhard;1
Johann Karl Gottlieb Spazier;August Theodor Heinrich Bode;13
Johann Karl Gottlieb Spazier;Friedrich Karl Julius Schütz;1
Johann Karl Gottlieb Spazier;Clemens Brentano;1
Johann Karl Gottlieb Spazier;Georg August von Breitenbauch;1
Caroline Richter;Unbekannte Korrespondent/innen;6
Caroline Richter;Johann Georg Jacob von Ahlefeldt;1
Caroline Richter;Wilhelmine Uthe-Spazier;1
Caroline Richter;Ernestine Mahlmann;2
Caroline Richter;Georg Christian Otto;2
Caroline Richter;Caroline (von) Herder;3
Caroline Richter;Johann Gottfried (seit 1801) von Herder;1
Caroline Richter;Johann Siegfried Wilhelm Mayer;39
Caroline Richter;Emanuel Osmund;88
Caroline Richter;Amöne Otto;1
Caroline Richter;Auguste Mayer;1
Caroline Richter;Paul Emile Thieriot;6
Caroline Richter;Julie Henriette Mayer;1
Caroline Richter;Ernestine von Meusebach;1
Caroline Richter;Caroline Auguste Eleonore von Ehrenberg;1
Caroline Richter;Ernst Karl Friedrich Ludwig;1
Caroline Richter;Franz Wilhelm Jung;9
Caroline Richter;Johanna Heim;1
Caroline Richter;Susanne Sophie von Herder;1
Caroline Richter;Henriette Luise Eleonore von Schubaert;1
Caroline Richter;Johann Georg Friedrich Messerschmidt;1
Caroline Richter;Ernestine Voß;2
Caroline Richter;Johann Heinrich Voß;1
Caroline Richter;Johann Andreas Uthe;1
Caroline Richter;Emma Richter;8
Caroline Richter;Heinrich Voß;1
Caroline Richter;Max Richter;27
Caroline Richter;Odilie Minna Richter;46
Caroline Richter;Josephine von Welden;5
Caroline Richter;Carl August Böttiger;2
Caroline Richter;Luise Förster;1
Caroline Richter;Anna Margaretha Fanny von Reitzenstein;2
Caroline Richter; Franz II. / I.;1
Caroline Richter;Eduard Vieweg;3
Caroline Richter;Detlev Graf von Einsiedel;1
Caroline Richter; Friedrich August I.;1
Caroline Richter;Konstantin Karl von Falkenstein;3
Caroline Richter;Johann Leonhard Schrag;1
Caroline Richter;Georg Ludwig Friedrich Wilhelm Graf von Münster;1
Caroline Richter;Elisabeth Cotta von Cottendorf;1
Caroline Richter;Johann Adam Walther;1
Caroline Richter;Josef Graf Sedlnitzky von Choltitz;1
Caroline Richter;Johann Friedrich Freiherr Cotta von Cottendorf;2
Auguste Sophie Henriette Schwendler;Carl August Böttiger;1
Auguste Sophie Henriette Schwendler;Caroline Richter;6
Ernestine Mahlmann;Johann Siegfried Wilhelm Mayer;32
Ernestine Mahlmann;Caroline Richter;13
