Korrespondent/innen;Bruttoreichweite;Nettoreichweite
Caroline Richter;289;48
Johann Siegfried Wilhelm Mayer;192;8
Johann Ernst Wagner;103;29
Emanuel Osmund;99;9
Johann Karl Gottlieb Spazier;67;16
Wilhelmine Uthe-Spazier;66;13
Auguste Sophie Henriette Schwendler;64;5
Jean Paul;60;15
Ernestine Mahlmann;47;3
Emma Richter;39;15
Max Richter;109;10
Charlotte von Kalb;47;2
Henriette Freifrau von Ende;25;2
Friedrich Arnold Brockhaus;21;4
Siegfried August Mahlmann;19;5
Caroline Goldschmidt;17;1
Georg Christian Otto;16;5
Heinrich Voß;18;9
Odilie Minna Richter;13;5
Julie Henriette Mayer;22;2
Antonie von Mützschefahl;13;3
Richard Otto Spazier;8;4
Christian Freiherr Truchsess von Wetzhausen;11;7
Ernst Joachim Förster;7;2
Johanna Heim;7;3
Caroline Auguste Eleonore von Ehrenberg;5;1
Ernestine Amalie Merzdorf;4;2
Friedrich Mosengeil;4;1
Amanda Schlabrendorff;4;1
Ernestine Voß;6;3
Karl Ludwig Friedrich Ernst Wagner;4;1
Ludwig Anton Wagner;4;1
Paul Emile Thieriot;4;3
Friedrich Theodor Adam Heinrich von Müller;3;2
Friedrich Christian August Schwendler;4;3
Louise Theresa Caroline Amelia Adelheid;3;2
Karl August Freiherr von Wangenheim;4;2
Rosalie von Ungern-Sternberg;3;1
Johann Leonhard Schrag;3;3
Adelheid Henriette von Bassewitz;2;1
Johann Christoph Aretin;2;1
Joseph Marius Franz von Babo;2;1
Moritz August von Thümmel;2;1
Ludwig Friedrich Schmidt;2;1
Karl Theodor Reichsfreiherr von Dalberg;2;1
Johann Gottlieb Fichte;2;1
Friederike Christiane von Fischer;16;8
Johann Heinrich Cotta;2;1
Stanislaus Otto von Dönhoff;2;1
Alfred Schlichtegroll;2;1
Johann Gottfried Langermann;3;2
Johann Georg Heine;3;2
 Ludwig;2;2
Johann Friedrich Freiherr Cotta von Cottendorf;2;1
Georg Voß;0;0
Caroline Henriette Susanne Friederike von Feuchtersleben;2;2
Johann Wilhelm Ludwig Gleim;2;2
Joseph Scherer;1;1
August Wilhelm von Leipziger;1;1
Henriette Braun;1;1
Amöne Otto;1;1
Friederike Wilhelmine Caroline;1;1
Johanna Sidonie Dorothea von Dieskau;1;1
Georg Wilhelm Keßler;1;1
Anna Henriette (Nanette) Gentz;1;1
Georg Joachim Göschen;1;1
Wilhelmine von Müffling;1;1
Engel Christine Westphalen;1;1
Therese Lentz;1;1
Carl Ludwig Fernow;1;1
Stephan Schütze;1;1
 Carl August;1;1
 Bayreuther Postamt;1;1
Bernhard August von Lindenau;1;1
Charlotte (von) Schiller;1;1
 Friedrich Wilhelm III.;1;1
Lukrezia von Mann;2;2
Johann Jakob Griesbach;1;1
 Johann Friedrich Wilhelm Bornträger;1;1
Ludwig Christian von Oertel;2;2
Friedrich Haug;2;2
Ernst Karl Friedrich Ludwig;1;1
Friedrich Wilken;1;1
Marie Ulrike Wilhelmine Levezow;1;1
Ludwig Gentz;1;1
Caroline Bergner;1;1
Juliane Louise Antoinette Karoline Wagner;1;1
 Industrie-Comptoir;1;1
Gerson Adersbach;1;1
Carl Borromäus von Miltitz;1;1
Wilhelmine Doerffer;1;1
Auguste Oertel;1;1
Luise von Herder;1;1
Auguste Caroline Wilhelmine Louise von Giech;1;1
Johann Heinrich Christoph Holzschuher;1;1
Luise Antoinette Benedictine Friederike Sophie Karoline Henckel von Donnersmarck;1;1
Therese Apollonia Mayer;1;1
Franz Wilhelm Jung;1;1
Christoph August Tiedge;1;1
Karoline Wilhelmine von Giech-Schönburg;1;1
Elisa von der Recke;1;1
Eduard Pohl;1;1
Heinrich Doering;1;1
Johann Wilhelm Christoph Hennings;1;1
Anna Christiane Charlotte von Stein;1;1
Johann Friedrich von (gen. Imo) Meyer;1;1
Johann Gottlieb Eduard von Stainlein;1;1
Georg Christoph Degen;1;1
Adolph Müllner;1;1
