Thema;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826
Reisen;1;9;15;7;8;1;3;5;17;3;6;21;1;0;0;1;2;6;7;14;19;11;15;12;4;1;2
Krankheit bzw. Gesundheitszustand;1;6;7;4;5;9;3;0;4;11;14;23;5;0;1;2;4;4;14;5;5;4;27;5;2;4;0
Verlage / Verlegerisches;3;3;1;19;9;13;8;1;9;21;9;3;0;0;0;0;0;1;0;1;0;5;0;0;0;12;19
Familie(n);6;6;21;6;6;5;0;3;8;2;11;15;1;1;0;3;3;3;5;5;5;2;12;1;0;1;1
Finanzen;2;4;4;6;2;12;4;2;5;9;7;7;3;2;5;5;6;6;2;3;3;8;3;6;0;1;4
Festlichkeiten;4;6;10;7;5;7;2;3;5;7;4;5;1;1;2;2;2;8;3;4;3;6;8;1;0;1;7
Kinder;1;1;16;9;5;2;0;4;7;6;8;12;2;3;3;4;2;1;8;4;4;7;1;3;0;1;0
Literarisches Leben und Schaffen;3;2;2;16;11;9;6;1;4;9;6;17;1;0;0;1;1;1;0;0;0;5;0;0;0;0;2
Gesellschaftliches Leben;2;8;6;6;2;3;0;2;1;5;3;2;1;0;1;0;1;0;2;2;14;16;13;1;0;1;1
Briefverkehr;0;5;8;9;2;1;1;1;6;7;4;7;1;3;0;2;4;1;1;0;4;4;10;3;0;0;6
Zeitschriften;6;3;3;24;12;11;3;2;1;11;2;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0
Freundschaften;1;8;5;2;0;3;0;2;6;3;6;15;0;1;0;0;2;2;3;3;5;1;4;0;0;1;3
Tod und Sterben;0;1;2;1;1;13;1;1;5;0;8;4;1;0;2;0;0;0;2;3;0;4;4;2;0;9;3
Dank;0;1;2;2;0;2;6;14;10;9;4;5;1;0;1;0;0;1;0;0;0;0;1;2;0;0;2
Hauswesen;0;4;6;4;9;2;0;2;1;6;0;2;1;0;0;0;1;0;2;1;3;1;11;0;0;0;0
Berufliches;1;0;0;1;1;9;1;2;4;10;5;4;3;1;1;3;1;3;0;0;3;1;0;0;0;0;0
Bildung;0;0;0;0;0;4;0;1;18;1;1;0;0;0;0;0;0;0;1;5;5;14;0;0;0;0;0
Personalien;1;0;0;2;0;1;0;0;1;3;3;5;0;0;0;3;2;1;4;1;4;2;5;0;0;0;3
Kunst;0;0;2;8;2;0;2;1;2;7;1;9;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
Lektüre(n);1;1;1;1;3;0;0;0;2;2;1;2;0;0;0;1;0;0;0;2;1;3;2;3;1;1;2
Politik;0;0;0;1;2;3;3;2;3;8;1;0;0;0;0;0;0;0;1;1;1;1;2;0;0;0;0
Liebesleben / Ehe;4;1;5;1;0;0;0;0;1;0;4;5;0;0;0;0;0;0;0;1;2;1;2;0;0;0;1
Geschlechterrollen;0;2;2;1;1;2;0;0;2;2;0;2;0;1;0;0;0;1;5;1;1;2;0;0;0;1;1
Juristische Angelegenheiten;2;1;1;1;5;1;0;2;1;0;0;1;0;0;0;0;2;0;0;0;1;1;0;0;0;0;7
Textilien;0;1;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;10;6;0;0;0
Theaterleben;0;1;0;4;8;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Ermahnung, Zuspruch, Trost;1;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;2;3;4;0;0;2;0
Stimulantien;0;1;9;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Natur;0;2;1;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;3
Religion;0;0;1;0;0;0;0;0;1;2;3;4;0;1;0;1;1;0;0;0;0;2;0;0;0;0;0
