Jahr;Thema;Anzahl
1799;Musik;1
1800;Musik;1
1805;Musik;1
1811;Musik;1
1815;Musik;1
1819;Musik;1
1820;Musik;3
1824;Musik;1
1799;Zeitschriften;1
1800;Zeitschriften;6
1801;Zeitschriften;5
1802;Zeitschriften;4
1803;Zeitschriften;25
1804;Zeitschriften;12
1805;Zeitschriften;12
1806;Zeitschriften;4
1807;Zeitschriften;2
1808;Zeitschriften;1
1809;Zeitschriften;17
1810;Zeitschriften;2
1820;Zeitschriften;2
1821;Zeitschriften;5
1799;Literarisches Leben und Schaffen;1
1800;Literarisches Leben und Schaffen;3
1801;Literarisches Leben und Schaffen;3
1802;Literarisches Leben und Schaffen;3
1803;Literarisches Leben und Schaffen;17
1804;Literarisches Leben und Schaffen;11
1805;Literarisches Leben und Schaffen;9
1806;Literarisches Leben und Schaffen;6
1807;Literarisches Leben und Schaffen;1
1808;Literarisches Leben und Schaffen;4
1809;Literarisches Leben und Schaffen;12
1810;Literarisches Leben und Schaffen;9
1811;Literarisches Leben und Schaffen;17
1812;Literarisches Leben und Schaffen;2
1814;Literarisches Leben und Schaffen;2
1815;Literarisches Leben und Schaffen;1
1816;Literarisches Leben und Schaffen;1
1817;Literarisches Leben und Schaffen;6
1818;Literarisches Leben und Schaffen;1
1819;Literarisches Leben und Schaffen;1
1820;Literarisches Leben und Schaffen;1
1821;Literarisches Leben und Schaffen;5
1826;Literarisches Leben und Schaffen;2
1800;Verlage / Verlegerisches;3
1801;Verlage / Verlegerisches;3
1802;Verlage / Verlegerisches;2
1803;Verlage / Verlegerisches;20
1804;Verlage / Verlegerisches;9
1805;Verlage / Verlegerisches;13
1806;Verlage / Verlegerisches;9
1807;Verlage / Verlegerisches;1
1808;Verlage / Verlegerisches;9
1809;Verlage / Verlegerisches;28
1810;Verlage / Verlegerisches;11
1811;Verlage / Verlegerisches;5
1814;Verlage / Verlegerisches;1
1816;Verlage / Verlegerisches;1
1817;Verlage / Verlegerisches;6
1818;Verlage / Verlegerisches;2
1819;Verlage / Verlegerisches;5
1820;Verlage / Verlegerisches;2
1821;Verlage / Verlegerisches;5
1825;Verlage / Verlegerisches;15
1826;Verlage / Verlegerisches;19
1800;Freundschaften;1
1801;Freundschaften;11
1802;Freundschaften;8
1803;Freundschaften;4
1804;Freundschaften;3
1805;Freundschaften;5
1806;Freundschaften;1
1807;Freundschaften;2
1808;Freundschaften;14
1809;Freundschaften;8
1810;Freundschaften;7
1811;Freundschaften;15
1813;Freundschaften;1
1814;Freundschaften;1
1816;Freundschaften;6
1817;Freundschaften;5
1819;Freundschaften;4
1818;Freundschaften;3
1820;Freundschaften;6
1821;Freundschaften;1
1822;Freundschaften;4
1825;Freundschaften;1
1826;Freundschaften;3
1800;Juristische Angelegenheiten;2
1801;Juristische Angelegenheiten;3
1802;Juristische Angelegenheiten;1
1803;Juristische Angelegenheiten;1
1804;Juristische Angelegenheiten;5
1805;Juristische Angelegenheiten;1
1807;Juristische Angelegenheiten;2
1808;Juristische Angelegenheiten;2
1809;Juristische Angelegenheiten;1
1811;Juristische Angelegenheiten;1
1816;Juristische Angelegenheiten;3
1819;Juristische Angelegenheiten;2
1820;Juristische Angelegenheiten;2
1821;Juristische Angelegenheiten;1
1826;Juristische Angelegenheiten;7
1800;Liebesleben / Kennenlernen / Ehe;4
1801;Liebesleben / Kennenlernen / Ehe;2
1802;Liebesleben / Kennenlernen / Ehe;5
1803;Liebesleben / Kennenlernen / Ehe;3
1804;Liebesleben / Kennenlernen / Ehe;2
1805;Liebesleben / Kennenlernen / Ehe;2
1808;Liebesleben / Kennenlernen / Ehe;2
1809;Liebesleben / Kennenlernen / Ehe;2
1810;Liebesleben / Kennenlernen / Ehe;4
1811;Liebesleben / Kennenlernen / Ehe;5
1817;Liebesleben / Kennenlernen / Ehe;3
1819;Liebesleben / Kennenlernen / Ehe;1
1820;Liebesleben / Kennenlernen / Ehe;2
1821;Liebesleben / Kennenlernen / Ehe;1
1822;Liebesleben / Kennenlernen / Ehe;3
1826;Liebesleben / Kennenlernen / Ehe;1
1800;Lektüre(n);1
1801;Lektüre(n);1
1802;Lektüre(n);3
1803;Lektüre(n);1
1804;Lektüre(n);3
1806;Lektüre(n);1
1808;Lektüre(n);4
1809;Lektüre(n);4
1810;Lektüre(n);1
1811;Lektüre(n);3
1814;Lektüre(n);1
1815;Lektüre(n);1
1817;Lektüre(n);2
1819;Lektüre(n);2
1820;Lektüre(n);1
1821;Lektüre(n);3
1822;Lektüre(n);2
1823;Lektüre(n);3
1824;Lektüre(n);1
1825;Lektüre(n);1
1826;Lektüre(n);2
1800;Festlichkeiten;4
1801;Festlichkeiten;6
1802;Festlichkeiten;11
1803;Festlichkeiten;7
1804;Festlichkeiten;7
1805;Festlichkeiten;7
1806;Festlichkeiten;3
1807;Festlichkeiten;3
1808;Festlichkeiten;9
1809;Festlichkeiten;7
1810;Festlichkeiten;5
1811;Festlichkeiten;5
1812;Festlichkeiten;1
1813;Festlichkeiten;1
1814;Festlichkeiten;2
1815;Festlichkeiten;2
1816;Festlichkeiten;2
1817;Festlichkeiten;9
1818;Festlichkeiten;3
1819;Festlichkeiten;4
1820;Festlichkeiten;5
1821;Festlichkeiten;6
1822;Festlichkeiten;8
1823;Festlichkeiten;1
1825;Festlichkeiten;1
1826;Festlichkeiten;7
1800;Finanzen;2
1801;Finanzen;4
1802;Finanzen;4
1803;Finanzen;6
1804;Finanzen;2
1805;Finanzen;13
1806;Finanzen;5
1807;Finanzen;2
1808;Finanzen;5
1809;Finanzen;13
1810;Finanzen;10
1811;Finanzen;9
1812;Finanzen;5
1813;Finanzen;6
1814;Finanzen;6
1815;Finanzen;6
1816;Finanzen;6
1817;Finanzen;7
1818;Finanzen;2
1819;Finanzen;4
1820;Finanzen;5
1821;Finanzen;8
1822;Finanzen;3
1823;Finanzen;6
1825;Finanzen;1
1826;Finanzen;4
1800;Berufliches;1
1803;Berufliches;1
1804;Berufliches;2
1805;Berufliches;11
1806;Berufliches;5
1807;Berufliches;2
1808;Berufliches;4
1809;Berufliches;10
1810;Berufliches;7
1811;Berufliches;4
1812;Berufliches;3
1813;Berufliches;3
1814;Berufliches;1
1815;Berufliches;4
1816;Berufliches;3
1817;Berufliches;4
1820;Berufliches;3
1821;Berufliches;1
1800;Personalien;1
1802;Personalien;3
1803;Personalien;3
1805;Personalien;3
1807;Personalien;2
1808;Personalien;1
1809;Personalien;3
1810;Personalien;5
1811;Personalien;5
1815;Personalien;3
1816;Personalien;2
1817;Personalien;2
1818;Personalien;4
1819;Personalien;1
1820;Personalien;5
1821;Personalien;3
1822;Personalien;5
1824;Personalien;1
1826;Personalien;3
1800;Reisen;1
1801;Reisen;10
1802;Reisen;18
1803;Reisen;9
1804;Reisen;11
1805;Reisen;5
1806;Reisen;4
1807;Reisen;5
1808;Reisen;25
1809;Reisen;7
1810;Reisen;14
1811;Reisen;25
1819;Reisen;17
1812;Reisen;1
1813;Reisen;1
1814;Reisen;3
1815;Reisen;3
1816;Reisen;8
1817;Reisen;8
1818;Reisen;7
1820;Reisen;20
1821;Reisen;11
1822;Reisen;15
1823;Reisen;12
1824;Reisen;4
1825;Reisen;1
1826;Reisen;2
1800;Gesellschaftliches Leben;2
1801;Gesellschaftliches Leben;8
1802;Gesellschaftliches Leben;6
