Jahr;Briefe;Durchschnittliche Brieflänge;Korrespondent/innen;Personenerwähnungen;Produktwert
1800;23;4014;16;125;;184644000
1801;31;5346;19;392;;1234327248
1802;54;4619;14;627;;2189461428
1803;54;3759;21;482;;2054624292
1804;37;3802;16;378;;850796352
1805;48;3703;20;532;;1891196160
1806;24;2044;14;89;;61123776
1807;35;1643;12;135;;93158100
1808;65;3070;29;467;;2702505650
1809;58;3426;30;428;;2551410720
1810;48;3749;29;496;;2588429568
1811;73;4179;33;786;;7912827846
1812;12;3322;14;115;;64181040
1813;7;3490;7;77;;13167770
1814;9;2951;6;99;;15776046
1815;10;4411;7;169;;52182130
1816;18;3033;17;164;;152208072
1817;21;2857;16;212;;203509824
1818;27;5117;13;414;;743571738
1819;32;3319;15;359;;571930080
1820;46;3476;17;628;;1707049696
1821;40;5552;13;752;;2171054080
1822;55;4377;12;902;;2605715640
1823;19;4051;9;205;;142007805
1824;6;3794;10;91;;20715240
1825;27;3291;21;177;;330281469
1826;45;3544;24;325;;1243944000
